display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Peter Stack,San Francisco Chronicle,"By turns hilarious, soulful, gritty and sexy, this lively crime drama was created by 23-year-old director Robert Rodriguez of Austin, Texas, for a budget of 7,000.","| Original Score: 4/4
                
                |","Jan 11, 2023"
Rob Gonsalves,Rob's Movie Vault,"Some of the film is monotonous, but it’s so completely what it is — a shoot-’em-up done with throwaway energy — that you’d have to be fun-impaired not to enjoy it.","| Original Score: B+
                
                |","Aug 31, 2022"
Harper Barnes,St. Louis Post-Dispatch,El Mariachi makes the bloated movies of Steven Seagal and other American martial arts stars look as lazy and cluttered as the tag-team match at a tanktown wrestling arena. This movie means business.,|,"Sep 9, 2021"
Philip French,Observer (UK),The best movie in the section... [A] vigorous action movie.,|,"Sep 9, 2021"
Robbie Roberts,"News & Observer (Raleigh, NC)",El Mariachi is a filmmaking primer. The building blocks of moviemaking are on display from the outset... Watching is a technical reward and a promise of good things to come.,"| Original Score: 2.5/4
                
                |","Sep 9, 2021"
Jay Carr,Boston Globe,"Although crude, it deftly balances kinetic action sequences with hip awareness, only occasionally succumbing to moves that seem self-conscious or affected.",|,"Sep 9, 2021"
Alexander Walker,London Evening Standard,It's great to find this green shoot of talent in the present Hollywood desert.,|,"Sep 9, 2021"
Sheila Johnston,Independent (UK),It's a straight-arrow genre piece; a comic paella Western set in Mexico and shot in Spanish. But the film is a little triumph. What distinguishes it is the execution.,|,"Sep 9, 2021"
Geoff Brown,Times (UK),"Rodriguez's first feature has qualities no money can ever provide, like youthful imagination, puckish black humour and a powerful sense of narrative.",|,"Sep 9, 2021"
Steve Persall,Tampa Bay Times,A flawed revelation of a talented new filmmaker. Let's pray that he doesn't get corrupted by that big-money deal with Columbia.,"| Original Score: B
                
                |","Sep 8, 2021"
Cynthia Rose,Sight & Sound,"Despite its superficial sense of low-budget genre-as-usual, this project offer something truly new for American film.",|,"Sep 8, 2021"
John Scalzi,Fresno Bee,"For something that was intended as an exercise of straight-to-video, crank-it-out movie-making, ""El Mariachi"" is a surprisingly strong piece of work.","| Original Score: 2.5/4
                
                |","Sep 8, 2021"
Noel Taylor,Ottawa Citizen,Creative exuberance is its own reward and El Mariachi is strikingly original even with its constant reminders of Sam Peckinpah and Sergio Leone.,"| Original Score: 3/4
                
                |","Sep 8, 2021"
Stephen Hunter,Baltimore Sun,Rodriguez has drop-dead natural talent.,"| Original Score: 3/4
                
                |","Sep 8, 2021"
Bob Fenster,Arizona Republic,"Yes, it's great that an unknown film maker could make a movie on the cheap and get it distributed. Too bad it's not a better movie.","| Original Score: 1/4
                
                |","Sep 8, 2021"
Gary Thompson,Philadelphia Daily News,Rodriguez has an intuitive sense of how to make movies.,"| Original Score: 3/4
                
                |","Sep 8, 2021"
Derek Malcolm,Guardian,Rodriguez's ability to keep his story simple and to embellish it not with any pretension but with the liveli-ness of his camerawork and editing is certainly something to write home about.,|,"Sep 8, 2021"
David Hinckley,New York Daily News,"Despite plot holes wider than the Rio Grande, director and co-writer Robert Rodriguez delivers an action movie that triumphs on pure charm.","| Original Score: 3/4
                
                |","Sep 8, 2021"
John Powers,L.A. Weekly,"[A] funny, hyperkinetic action movie.",|,"Sep 8, 2021"
Terry Lawson,Dayton Daily News,"The enjoyment of El Mariachi is obviously not in the plot, nor in its amusingly arch dialogue; it's in Rodriguez's visual virtuosity, and in his understanding that in movies like his, action is indeed character.","| Original Score: 3/4
                
                |","Sep 8, 2021"
John Griffin,Montreal Gazette,"El Mariachi is really a good ol' action story run on guns, gore and pickup trucks.",|,"Sep 8, 2021"
Mark Salisbury,Empire Magazine,"Shamelessly derivative -- Mad Max, The Terminator, the Coen Brothers, you name it -- this, much like Sam Raimi's Evil Dead, has an exhilarating rawness that works for, rather than against it.","| Original Score: 4/5
                
                |","Sep 8, 2021"
Bob Ross,Tampa Tribune,"After 10 minutes or so, you forget about the budgets and sink into the story.","| Original Score: 3/4
                
                |","Sep 8, 2021"
Michael H. Price,Fort Worth Star-Telegram/DFW.com,There is little here that makes sense in the plot department but El Mariachi succeeds on sheer cinematic energy -- a very impressive debut.,"| Original Score: 7/10
                
                |","Sep 8, 2021"
Joe Baltake,Sacramento Bee,"The simple fact is, it's not very good, even if it was reportedly made for a measly $7000 on a record two-week schedule.","| Original Score: 2/4
                
                |","Sep 8, 2021"
Candice Russell,South Florida Sun-Sentinel,"Even making allowances for its budget and crude camera style, this is no mini-masterpiece, no trend-breaker.","| Original Score: 2/4
                
                |","Sep 8, 2021"
Terry Orme,Salt Lake Tribune,"An inventive, wildly entertaining parody of spaghetti Westerns and violent action movies.","| Original Score: 3/4
                
                |","Sep 8, 2021"
