display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Josh Slater-Williams,Vague Visages,"The less said about Monica Bellucci’s part the better. Anyone from that quite large group of fans wishing for years for Bellucci to be in a Bond film will surely be furious at all she’s given to do here, and how little of it there is.",|,"Nov 15, 2023"
Jordan Brooks,Vague Visages,"No longer tasked with putting the missing pieces of action, intrigue and effects together in our heads, the artifice of Bond is gone forever — and with it, any room for playful interpretation.",|,"Aug 1, 2023"
Manuel São Bento,MSB Reviews,"One of the best movies of the franchise is buried somewhere under the messy screenplay, but what can be found at the surface has much to appreciate.","| Original Score: B
                
                |","Jul 25, 2023"
Keith Garlington,Keith & the Movies,"I liked the movie, and I’m anxious to give it another look. But with this cast and this pedigree I can’t help but be disappointed with what we get.","| Original Score: 3/5
                
                |","Aug 25, 2022"
Brian Eggert,Deep Focus Review,"Never mind the running time or overabundance of story; the film never bores, and the audience never loses interest. It simply isn't the wowing, visually illustrious film that its predecessor was.","| Original Score: 3/4
                
                |","Apr 25, 2022"
Jake Tropila,Film Inquiry,"Spectre is an immensely enjoyable Bond outing, that grows stronger with each passing viewing.",|,"Oct 9, 2021"
Therese Lacson,Nerdophiles,"Daniel Craig's Bond story feels a little too sugary sweet for our beloved 007. Leave the happily ever afters for the fairytales, we came here for a movie about a spy.","| Original Score: 3.5/5
                
                |","Oct 9, 2021"
Danielle Solzman,Solzy at the Movies,Spectre never strays too far from the franchise formula but this action film is still a thrilling ride.,|,"Sep 30, 2021"
David Hogan,hoganreviews.co.uk,"Spectre felt like loads of small ideas barely sewn together and a hasty attempt to make some sort of ""ultimate villain"" that doesn't work at all. Better than QoS at least...","| Original Score: 2/5
                
                |","Sep 29, 2021"
Matt Brunson,Film Frenzy,An engaging two hours are then run into the ground for a wince-inducing final half-hour of unfortunate developments.,"| Original Score: 2.5/4
                
                |","Sep 25, 2021"
Olly Richards,NME (New Musical Express),"How much you enjoy this may depend on how you feel about Bond in general. If you miss the old days, with the world in elaborate peril and everything done with a big wink, this is a solid example of that.","| Original Score: 3/5
                
                |","Jun 8, 2021"
Tony Black,Cultural Conversation,"Spectre, despite looking for all the world like a regressive throwback to Bond-eras passed, could end up pointing the way forward more acutely than we ever realised.","| Original Score: 4/5
                
                |","Feb 14, 2021"
Wesley Lovell,Cinema Sight,"Daniel Craig has been a satisfying James Bond, but the films he's been put into have been, on average, far weaker than anything from the Connery, Moore, or Brosnan eras with this likely being the worst Craig film to date.","| Original Score: 2/4
                
                |","Dec 16, 2020"
Mike Massie,Gone With The Twins,"Great attention is given to making the CG disappear in favor of practical effects and authentic destruction, bringing back the amusement of older 007 adventures.","| Original Score: 6/10
                
                |","Dec 4, 2020"
Kelechi Ehenulo,Confessions From A Geek Mind,It's certainly not the worst Bond film in the world but it definitely misses the mark of being one of the best.,"| Original Score: 2.5/5
                
                |","Jul 17, 2020"
Damond Fudge,"KCCI (Des Moines, IA)","Like its predecessor, this is a densely-plotted thriller punctuated by exciting action sequences...The plot does get a little ahead of itself a few times, but it's pretty quick to recover and get things back on track.",|,"Jul 14, 2020"
Brent McKnight,The Last Thing I See,"Though it's a paint-by-numbers ""James Bond movie,"" Spectre is still a James Bond movie, and as such, it's a pretty good time.","| Original Score: B-
                
                |","Jul 3, 2020"
Ricardo Gallegos,Pólvora,"Despite its flaws, Spectre is a very engaging and entertaining film. [Full review in Spanish]",|,"Jun 28, 2020"
Yasser Medina,Cinefilia,"It feels different with the visual style and the splendid music, but at the same time there is an imbalance that operates with the archaic clichés of 007 that worn the franchise so much and that don't fit with Craig's Bond. [Full review in Spanish]","| Original Score: 6/10
                
                |","Jun 26, 2020"
Avaryl Halley,Movie Bitches,"If you like Bond movies, you'll like it.",|,"Apr 29, 2020"
Andrew Galdi,Movie Bitches,I thought it was really fun.,|,"Apr 29, 2020"
Jim Ross,TAKE ONE Magazine,"If SKYFALL was the film to make old-school Bond retro and acceptable rather than passe and anachronistic, then SPECTRE embraces it wholeheartedly. As entertaining as SKYFALL was (and SPECTRE is at times), it seems you reap what you sow.",|,"Feb 13, 2020"
Tim Brennan,About Boulder,"Craig has one last chance to beat the odds with the 25th adventure. The phrase, ""James Bond Will Return"" is at the end of the credits. Let's hope it's a promise and not a threat.",|,"Feb 13, 2020"
