display-name,publication,review-text,original-score-and-url,original-score-and-url 2
David Noh,Film Journal International,"Suffers from a ceaselessly roving camera and overuse of shaky handhelds, as well as even less successful editing tropes, and some very fake-looking blood.",|,"Mar 1, 2007"
Brent Simon,Now Playing Magazine,"Arbitrarily arranged and awfully acted... proof positive that well-meaning creative wishes and savvy, low-fi merging of production means and narrative concept doesn't automatically produce heady results.","| Original Score: D-
                
                |","Sep 17, 2006"
Dennis Schwartz,Dennis Schwartz Movie Reviews,A harrowing but ultimately empty indie political thriller about Muslim terrorists.,"| Original Score: C+
                
                |","Aug 23, 2006"
Jay Antani,Cinema Writer,Cavite...will probably be cited in years to come as a classic example of the post-9/11 action thriller,"| Original Score: 3/4
                
                |","Aug 20, 2006"
Josh Ralske,All Movie Guide,...there's...a certain unseemliness to the endeavor that is difficult to dismiss.,"| Original Score: 5/10
                
                |","Aug 5, 2006"
Desson Thomson,Washington Post,"Its herky-jerky camcorder style, jump-cut editing and sustained takes soon wear out their welcome.",|,"Jul 27, 2006"
Marc Savlov,Austin Chronicle,... cunning meditation on the birthing grounds of religious extremism ...,"| Original Score: 4/5
                
                |","Jul 22, 2006"
Cherryl Dawson and Leigh Ann Palone,TheMovieChicks.com,"The budget for this film is one of those miniscule amounts when compared to a studio film, which just goes to show it's not how much you spend to make a movie, but what you put into it.","| Original Score: 3.5/5
                
                |","Jul 7, 2006"
Tom Keogh,Seattle Times,"Cavite will go down in history as a classic of no-budget filmmaking, making such ingenious use of bare resources that it's a wonder the movie is an effective, even thoughtful thriller.","Full Review
                
                
                    | Original Score: 3/4
                
                |","Jun 30, 2006"
Bill White,Seattle Post-Intelligencer,"A thrilling and scary ride through the side streets of a third world that is rarely seen in the movies, and carries a revolutionary message that is frightening in its political implications.","| Original Score: B
                
                |","Jun 29, 2006"
Jean Lowerison,San Diego Metropolitan,"Despite the shaky camera work, it's good to be reminded what talent and dedication can do in 10 days with less than $7,000.",|,"Jun 24, 2006"
